"distance_diff","black_confederates","race","block_id","direction","group_id","condition","cluster","location"
-0.267222413236511,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.419374412891865,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.073808353979328,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.136945665487102,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.0156620203679532,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.144371968294475,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
0.476268832651388,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.0736632856727614,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.0468498992488944,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.475911939963145,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.0174986044806683,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.366658256827096,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.412287280759904,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.240418402886312,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.39008940983918,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.439274791811802,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.477369495301619,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.21963638577708,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.0534294302859154,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.142619120216008,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.0972840240187,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.21963638577708,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.123831808869412,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.185954127886872,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.120124694444335,"Y","non-black","lexington_1","right_to_left","group0","black","lexington_1_1","lexington"
-0.396129513709571,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.474594792573983,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.449091676286302,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
0.173777091712351,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
0.16500308242574,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.113676896364871,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.212665562619908,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.210293496808557,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.267222413236511,"Y","non-black","lexington_1","left_to_right","group0","black","lexington_1_1","lexington"
-0.191719885711653,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.483941816524372,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
0.471048432685783,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.300959352455691,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.283665509464325,"N","non-black","lexington_1","left_to_right","group0","white","lexington_1_3","lexington"
-0.159019893346524,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
-0.0819506493158079,"N","non-black","lexington_1","right_to_left","group0","white","lexington_1_3","lexington"
